sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279133,human cortical spheroid-derived cell,SRX2912837,SRR5677337
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279114,human cortical spheroid-derived cell,SRX2912818,SRR5677318
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279143,human cortical spheroid-derived cell,SRX2912846,SRR5677346
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279138,human cortical spheroid-derived cell,SRX2912842,SRR5677342
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279084,human cortical spheroid-derived cell,SRX2912787,SRR5677287
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279190,human cortical spheroid-derived cell,SRX2912895,SRR5677395
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279214,human cortical spheroid-derived cell,SRX2912918,SRR5677418
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279155,human cortical spheroid-derived cell,SRX2912859,SRR5677359
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279173,human cortical spheroid-derived cell,SRX2912877,SRR5677377
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279158,human cortical spheroid-derived cell,SRX2912865,SRR5677365
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279226,human cortical spheroid-derived cell,SRX2912931,SRR5677431
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279169,human cortical spheroid-derived cell,SRX2912873,SRR5677373
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279188,human cortical spheroid-derived cell,SRX2912893,SRR5677393
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279189,human cortical spheroid-derived cell,SRX2912889,SRR5677389
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279208,human cortical spheroid-derived cell,SRX2912857,SRR5677357
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279177,human cortical spheroid-derived cell,SRX2912882,SRR5677382
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279211,human cortical spheroid-derived cell,SRX2912916,SRR5677416
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279172,human cortical spheroid-derived cell,SRX2912878,SRR5677378
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279160,human cortical spheroid-derived cell,SRX2912861,SRR5677361
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279161,human cortical spheroid-derived cell,SRX2912866,SRR5677366
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279224,human cortical spheroid-derived cell,SRX2912929,SRR5677429
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279193,human cortical spheroid-derived cell,SRX2912897,SRR5677397
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279170,human cortical spheroid-derived cell,SRX2912875,SRR5677375
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279231,human cortical spheroid-derived cell,SRX2912932,SRR5677432
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279212,human cortical spheroid-derived cell,SRX2912917,SRR5677417
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279167,human cortical spheroid-derived cell,SRX2912872,SRR5677372
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279194,human cortical spheroid-derived cell,SRX2912899,SRR5677399
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279180,human cortical spheroid-derived cell,SRX2912884,SRR5677384
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279203,human cortical spheroid-derived cell,SRX2912909,SRR5677409
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279219,human cortical spheroid-derived cell,SRX2912925,SRR5677425
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279150,human cortical spheroid-derived cell,SRX2912854,SRR5677354
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278752,human cortical spheroid-derived cell,SRX2912457,SRR5676957
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278762,human cortical spheroid-derived cell,SRX2912465,SRR5676965
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278771,human cortical spheroid-derived cell,SRX2912475,SRR5676975
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278715,human cortical spheroid-derived cell,SRX2912419,SRR5676919
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278781,human cortical spheroid-derived cell,SRX2912485,SRR5676985
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278724,human cortical spheroid-derived cell,SRX2912428,SRR5676928
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278747,human cortical spheroid-derived cell,SRX2912452,SRR5676952
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278732,human cortical spheroid-derived cell,SRX2912435,SRR5676935
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278834,human cortical spheroid-derived cell,SRX2912538,SRR5677038
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278856,human cortical spheroid-derived cell,SRX2912561,SRR5677061
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278825,human cortical spheroid-derived cell,SRX2912529,SRR5677029
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278824,human cortical spheroid-derived cell,SRX2912528,SRR5677028
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278813,human cortical spheroid-derived cell,SRX2912516,SRR5677016
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278839,human cortical spheroid-derived cell,SRX2912543,SRR5677043
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278838,human cortical spheroid-derived cell,SRX2912542,SRR5677042
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278863,human cortical spheroid-derived cell,SRX2912567,SRR5677067
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278798,human cortical spheroid-derived cell,SRX2912502,SRR5677002
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278991,human cortical spheroid-derived cell,SRX2912695,SRR5677195
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278939,human cortical spheroid-derived cell,SRX2912643,SRR5677143
